gid,entidad,objeto,fna,geom,gna,nam,fun,ppo,sag,fdc
"3945","0",Mina,(Bentonita),POINT(-69.640816235 -39.0071463909999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3946","0",Mina,(Arcilla),POINT(-69.998971021 -39.1962159679999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3947","0",Mina,(Arcilla),POINT(-69.997937909 -39.198297619),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3948","0",Mina,(Arcilla),POINT(-69.978155166 -39.1977833989999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3949","0",Mina,(Arcilla),POINT(-69.962396333 -39.199218608),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3950","0",Mina,(Diatomita),POINT(-69.935015628 -39.2159227129999),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"3951","0",Mina,(Arcilla),POINT(-69.9663133 -39.164310966),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3952","0",Mina,(Arcilla),POINT(-69.949714862 -39.1501182179999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3953","0",Mina,(Arcilla),POINT(-69.936671527 -39.147528979),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3954","0",Mina,(Arcilla),POINT(-69.918664603 -39.122004859),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3955","0",Mina,(Arcilla),POINT(-69.914668212 -39.148679062),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3956","0",Mina,(Arcilla),POINT(-69.913545316 -39.147424475),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3957","0",Mina,(Arcilla),POINT(-69.9178000059999 -39.1505079839999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"3958","0",Mina,(Diatomita),POINT(-69.88981682 -39.1470002139999),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"3959","0",Mina,(Arcilla),POINT(-69.868547705 -39.1351588759999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4064","0",Mina,(Arcilla),POINT(-69.6394648469999 -39.1204785049999),"-1","-1",6,17,IGN,IGN01/IGN04
"4079","0",Mina,(Arcilla),POINT(-69.627792628 -39.1124406439999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4062","0",Mina,Mina Labores (Arcilla),POINT(-69.603628005 -39.108286768),Mina,Labores,6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4058","0",Mina,(Bentonita),POINT(-69.659221519 -39.013411612),"-1","-1",6,17,IGN,IGN01/IGN04
"4059","0",Mina,(Bentonita),POINT(-69.649845902 -39.0187671479999),"-1","-1",6,17,IGN,IGN01/IGN04
"4060","0",Mina,Yacimiento La Mamá (Bentonita),POINT(-69.65574515 -39.035683907),Yacimiento,La Mamá,6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4061","0",Mina,(Bentonita),POINT(-69.658489918 -39.044194831),"-1","-1",6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4065","0",Mina,(Arcilla),POINT(-69.652403352 -39.119054067),"-1","-1",6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4066","0",Mina,Yacimiento La Blanqueada (Bentonita),POINT(-69.6681289699999 -39.05604321),Yacimiento,La Blanqueada,6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4067","0",Mina,Mina Mercedes II (Arcilla),POINT(-69.666262526 -39.121863371),Mina,Mercedes II,6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4068","0",Mina,Mina Yésica,POINT(-69.70548894 -39.140053682),Mina,Yésica,6,-1,IGN,IGN01/IGN04
"4069","0",Mina,Mina La Tapera (Arcilla),POINT(-69.691418805 -39.1655812349999),Mina,La Tapera,6,17,IGN,IGN01/IGN04/Dirección de Geografía IGN
"4070","0",Mina,(Áridos),POINT(-69.691792531 -39.234139731),"-1","-1",6,19,IGN,IGN01/IGN04
"4071","0",Mina,(Arcilla),POINT(-69.662801794 -39.126486074),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4072","0",Mina,(Arcilla),POINT(-69.647641574 -39.1157350029999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4073","0",Mina,(Arcilla),POINT(-69.6413378409999 -39.1152297429999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4074","0",Mina,(Arcilla),POINT(-69.6376389559999 -39.11442132),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4076","0",Mina,(Arcilla),POINT(-69.634278701 -39.114340477),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4077","0",Mina,(Arcilla),POINT(-69.633861925 -39.1107630889999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4078","0",Mina,(Arcilla),POINT(-69.632507404 -39.114199002),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4376","0",Mina,"-1",POINT(-69.113881438 -37.4228206679999),"-1","-1",-1,-1,IGN,ESRI-World_Imagery-2010
"4080","0",Mina,(Arcilla),POINT(-69.6223484939999 -39.11193536),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4081","0",Mina,(Arcilla),POINT(-69.614403705 -39.1111268989999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4082","0",Mina,(Arcilla),POINT(-69.690227615 -39.1422479399999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4083","0",Mina,(Arcilla),POINT(-69.686517142 -39.1432994259999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4084","0",Mina,(Arcilla),POINT(-69.693046147 -39.146177097),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4085","0",Mina,(Arcilla),POINT(-69.687765859 -39.146841158),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4086","0",Mina,(Arcilla),POINT(-69.6934857649999 -39.132175312),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4087","0",Mina,(Arcilla),POINT(-69.729897891 -39.1559055239999),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4088","0",Mina,(Arcilla),POINT(-69.727249447 -39.153834882),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4089","0",Mina,(Arcilla),POINT(-69.72276844 -39.155154077),"-1","-1",6,17,IGN,Dirección de Geografía IGN/IGN04
"4090","0",Mina,Mina Don Oscar (Hierro),POINT(-70.453943926 -37.451515322),Mina,Don Oscar,2,58,IGN,IGN01/IGN04
"4091","0",Mina,Mina El Carmelo (Sal de Roca),POINT(-70.255429437 -37.4134918459999),Mina,El Carmelo,6,95,IGN,IGN01
"4092","0",Mina,(Baritina),POINT(-70.43330207 -37.6287001319999),"-1","-1",2,-1,IGN,IGN01/IGN04
"4093","0",Mina,Mina Sadah Hermanos (Caolín),POINT(-70.257281226 -37.5722812619999),Mina,Sadah Hermanos,6,17,IGN,IGN01/IGN04
"4094","0",Mina,Mina La Clementina (Estroncio),POINT(-70.150696078 -37.573724049),Mina,La Clementina,6,-1,IGN,IGN01/IGN04
"4095","0",Mina,Mina Cimita (Carbón),POINT(-70.2000755029999 -37.498384785),Mina,Cimita,2,18,IGN,IGN01/IGN04
"4096","0",Mina,Mina La Argentina (Carbón),POINT(-70.350861525 -37.520737668),Mina,La Argentina,6,18,IGN,IGN01/IGN04
"4097","0",Mina,Mina San Eduardo (Carbón),POINT(-70.00921984 -37.531885244),Mina,San Eduardo,2,18,IGN,IGN01/IGN04
"4098","0",Mina,(Carbón),POINT(-70.2158294349999 -37.56774257),"-1","-1",2,18,IGN,IGN01/IGN04
"4099","0",Mina,(Baritina),POINT(-70.469023745 -37.358922671),"-1","-1",2,-1,IGN,IGN01/IGN04
"4100","0",Mina,"-1",POINT(-70.414034011 -37.521621486),"-1","-1",2,-1,IGN,IGN01
"4101","0",Mina,(Celestina),POINT(-70.306332454 -37.567715461),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"4102","0",Mina,(Celestina),POINT(-70.3065496259999 -37.5730640849999),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"4103","0",Mina,(Asfaltita),POINT(-70.196712382 -37.659065868),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"4104","0",Mina,(Celestina),POINT(-70.153572003 -37.557361651),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"4105","0",Mina,(Celestina),POINT(-70.153096644 -37.558143586),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
"4106","0",Mina,(Celestina),POINT(-70.148949132 -37.561892992),"-1","-1",6,-1,IGN,Dirección de Geografía IGN/IGN04
