producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
274400;395;2028-2508;;370;375;JOURNAL OF MATERIAL AND ENVIRONMENTAL SCIENCE;9;1;;;FACULTY OF SCIENCE, MOHAMMED PREMIER UNIVERSITY  B.P. 717, 60000 OUJDA;NO INDEXADO
274401;512;1687-8086;;1;11;ADVANCES IN CIVIL ENGINEERING;2018;;;10.1155/7074;HINDAWI PUBLISHING CORPORATION;NO INDEXADO
274411;395;2028-2508;;370;375;JOURNAL OF MATERIALS AND ENVIRONMENTAL SCIENCE;9;10;;;UNIVERSITY OF MOHAMMED PREMIER OUJDA;NO INDEXADO
274448;21;2576-9537;;;;ARCHIVES OF PHARMACY AND PHARMACEUTICAL SCIENCES;;;;10.29328/journal.hps.1001006;HEIGHTEN SCIENCE PUBLICATIONS;NO INDEXADO
274458;21;;;50;56;NATURE ECOLOGY AND EVOLUTION;2;1;;10.1038/s41559-017-0395-0;NATURE PUBLISHING GROUP;NO INDEXADO
274461;82;2470-1394;;1;8;MITOCHONDRIAL DNA PART A;;;;10.1080/24701394.2018.1424841;TAYLOR Y FRANCIS;NO INDEXADO
274464;39;0026-265X;;150;154;MICROCHEMICAL JOURNAL;139;;;10.1016/j.microc.2018.02.023;ELSEVIER SCIENCE BV;NO INDEXADO
274467;39;1385-1101;;10;14;JOURNAL OF SEA RESEARCH;136;;;10.1016/j.seares.2018.03.003;ELSEVIER SCIENCE BV;NO INDEXADO
274474;39;0167-6423;;70;98;SCIENCE OF COMPUTER PROGRAMMING;152;;;10.1016/j.scico.2017.09.007;ELSEVIER SCIENCE BV;NO INDEXADO
274482;82;;;1;13;SCIENTIFIC REPORTS;8;5'81;;10.1038/s41598-018-23521-0;	 NATURE PUBLISHING GROUP;NO INDEXADO
274483;21;1046-7408;;;;AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY;;;;;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
274496;82;0267-9477;;;;JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY;;;;10.1039/C7JA00405B;ROYAL SOC CHEMISTRY;NO INDEXADO
274500;82;1746-4811;;;;PLANT METHODS;;9;;;BIOMED CENTRAL LTD;NO INDEXADO
274511;39;0023-6438;;666;673;LEBENSMITTEL-WISSENSCHAFT UND-TECHNOLOGIE-FOOD SCIENCE AND TECHNOLOGY;89;;;10.1016/j.lwt.2017.11.029;ELSEVIER SCIENCE BV;NO INDEXADO
274512;1;0048-7600;;1;10;REVISTA ARGENTINA DE CIRUGÍA;110;1;;10.25132/raac.v110.n1.1274.es;ASOCIACIÓN ARGENTINA DE CIRUGÍA;NO INDEXADO
274528;21;1735-1472;;37;48;INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY;15;;;10.1007/s13762-017-1368-1 .;CTR ENVIRONMENT & ENERGY RESEARCH & STUDIES;NO INDEXADO
274553;39;0022-0965;;451;464;JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY;166;;;10.1016/j.jecp.2017.08.016;ELSEVIER;NO INDEXADO
274557;21;1065-9471;;;;HUMAN BRAIN MAPPING;;;;10.1002/hbm.23933;WILEY-LISS, DIV JOHN WILEY & SONS INC;NO INDEXADO
274558;82;1053-8119;;265;277;JOURNAL NEUROIMAG;169;;;10.1016/j.neuroimage.2017.12.015;ACADEMIC PRESS INC.;NO INDEXADO
274559;82;;;;;FRONTIERS FOR YOUNG MINDS;6;;;10.3389/frym.2018.00003;FRONTIERS MEDIA;NO INDEXADO
