,clasificacion,BARRIO
2020-04-26,17.0,BELGRANO
2020-05-03,6.0,BELGRANO
2020-05-10,10.0,BELGRANO
2020-05-17,14.0,BELGRANO
2020-05-24,20.0,BELGRANO
2020-05-31,29.0,BELGRANO
2020-06-07,19.0,BELGRANO
2020-06-14,51.0,BELGRANO
2020-06-21,44.0,BELGRANO
2020-06-28,80.0,BELGRANO
2020-07-05,110.0,BELGRANO
2020-07-12,115.0,BELGRANO
2020-07-19,209.0,BELGRANO
2020-07-26,191.0,BELGRANO
2020-08-02,210.0,BELGRANO
2020-08-09,228.0,BELGRANO
2020-08-16,183.0,BELGRANO
2020-08-23,177.0,BELGRANO
2020-08-30,246.0,BELGRANO
2020-09-06,226.0,BELGRANO
2020-09-13,255.0,BELGRANO
2020-09-20,190.0,BELGRANO
2020-09-27,202.0,BELGRANO
2020-10-04,190.0,BELGRANO
2020-10-11,197.0,BELGRANO
2020-10-18,211.0,BELGRANO
2020-10-25,141.0,BELGRANO
2020-11-01,99.0,BELGRANO
2020-11-08,114.0,BELGRANO
2020-11-15,126.0,BELGRANO
2020-11-22,87.0,BELGRANO
2020-11-29,53.0,BELGRANO
2020-12-06,94.0,BELGRANO
2020-12-13,120.0,BELGRANO
2020-12-20,160.0,BELGRANO
2020-12-27,198.0,BELGRANO
2021-01-03,333.0,BELGRANO
2021-01-10,418.0,BELGRANO
2021-01-17,376.0,BELGRANO
2021-01-24,348.0,BELGRANO
2021-01-31,348.0,BELGRANO
2021-02-07,308.0,BELGRANO
2021-02-14,199.0,BELGRANO
2021-02-21,163.0,BELGRANO
2021-02-28,187.0,BELGRANO
2021-03-07,187.0,BELGRANO
2021-03-14,234.0,BELGRANO
2021-03-21,241.0,BELGRANO
2021-03-28,384.0,BELGRANO
2021-04-04,566.0,BELGRANO
2021-04-11,708.0,BELGRANO
2021-04-18,629.0,BELGRANO
2021-04-25,680.0,BELGRANO
2021-05-02,531.0,BELGRANO
2021-05-09,485.0,BELGRANO
2021-05-16,513.0,BELGRANO
2021-05-23,609.0,BELGRANO
2021-05-30,570.0,BELGRANO
2021-06-06,420.0,BELGRANO
2021-06-13,374.0,BELGRANO
2021-06-20,348.0,BELGRANO
2021-06-27,342.0,BELGRANO
2021-07-04,307.0,BELGRANO
2021-07-11,226.0,BELGRANO
2021-07-18,243.0,BELGRANO
2021-07-25,199.0,BELGRANO
2021-08-01,199.0,BELGRANO
2021-08-08,224.0,BELGRANO
2021-08-15,195.0,BELGRANO
2021-08-22,161.0,BELGRANO
2021-08-29,138.0,BELGRANO
2021-09-05,114.0,BELGRANO
2021-09-12,103.0,BELGRANO
2021-09-19,96.0,BELGRANO
2021-09-26,44.0,BELGRANO
2021-10-03,25.0,BELGRANO
2021-10-10,25.0,BELGRANO
2021-10-17,53.0,BELGRANO
2021-10-24,79.0,BELGRANO
2021-10-31,71.0,BELGRANO
2021-11-07,63.0,BELGRANO
2021-11-14,78.0,BELGRANO
2021-11-21,98.0,BELGRANO
2021-11-28,89.0,BELGRANO
2021-12-05,140.0,BELGRANO
2021-12-12,222.0,BELGRANO
2021-12-19,343.0,BELGRANO
2021-12-26,966.0,BELGRANO
2022-01-02,2260.0,BELGRANO
2022-01-09,3497.0,BELGRANO
2022-01-16,4048.0,BELGRANO
2022-01-23,3713.0,BELGRANO
2022-01-30,2334.0,BELGRANO
2022-02-06,1327.0,BELGRANO
2022-02-13,642.0,BELGRANO
2022-02-20,389.0,BELGRANO
2022-02-27,268.0,BELGRANO
2022-03-06,188.0,BELGRANO
2022-03-13,110.0,BELGRANO
2022-03-20,135.0,BELGRANO
2022-03-27,87.0,BELGRANO
2022-04-03,98.0,BELGRANO
2022-04-10,121.0,BELGRANO
2022-04-17,134.0,BELGRANO
2022-04-24,166.0,BELGRANO
2022-05-01,223.0,BELGRANO
2022-05-08,478.0,BELGRANO
2022-05-15,955.0,BELGRANO
2022-05-22,1006.0,BELGRANO
2022-05-29,952.0,BELGRANO
2022-06-05,599.0,BELGRANO
2020-03-01,0.0,BOCA
2020-03-08,0.0,BOCA
2020-03-15,0.0,BOCA
2020-03-22,0.0,BOCA
2020-03-29,1.0,BOCA
2020-04-05,1.0,BOCA
2020-04-12,0.0,BOCA
2020-04-19,1.0,BOCA
2020-04-26,3.0,BOCA
2020-05-03,0.0,BOCA
2020-05-10,5.0,BOCA
2020-05-17,5.0,BOCA
2020-05-24,14.0,BOCA
2020-05-31,38.0,BOCA
2020-06-07,70.0,BOCA
2020-06-14,68.0,BOCA
2020-06-21,86.0,BOCA
2020-06-28,109.0,BOCA
2020-07-05,175.0,BOCA
2020-07-12,160.0,BOCA
2020-07-19,196.0,BOCA
2020-07-26,168.0,BOCA
2020-08-02,183.0,BOCA
2020-08-09,181.0,BOCA
2020-08-16,115.0,BOCA
2020-08-23,146.0,BOCA
2020-08-30,171.0,BOCA
2020-09-06,125.0,BOCA
2020-09-13,117.0,BOCA
2020-09-20,116.0,BOCA
2020-09-27,84.0,BOCA
2020-10-04,94.0,BOCA
2020-10-11,111.0,BOCA
2020-10-18,76.0,BOCA
2020-10-25,59.0,BOCA
2020-11-01,59.0,BOCA
2020-11-08,58.0,BOCA
2020-11-15,51.0,BOCA
2020-11-22,42.0,BOCA
2020-11-29,33.0,BOCA
2020-12-06,45.0,BOCA
2020-12-13,30.0,BOCA
2020-12-20,28.0,BOCA
2020-12-27,45.0,BOCA
2021-01-03,84.0,BOCA
2021-01-10,115.0,BOCA
2021-01-17,97.0,BOCA
2021-01-24,69.0,BOCA
2021-01-31,74.0,BOCA
2021-02-07,65.0,BOCA
2021-02-14,40.0,BOCA
2021-02-21,56.0,BOCA
2021-02-28,77.0,BOCA
2021-03-07,59.0,BOCA
2021-03-14,73.0,BOCA
2021-03-21,59.0,BOCA
2021-03-28,124.0,BOCA
2021-04-04,148.0,BOCA
2021-04-11,309.0,BOCA
2021-04-18,379.0,BOCA
2021-04-25,379.0,BOCA
2021-05-02,297.0,BOCA
2021-05-09,267.0,BOCA
2021-05-16,294.0,BOCA
2021-05-23,317.0,BOCA
2021-05-30,260.0,BOCA
2021-06-06,245.0,BOCA
2021-06-13,214.0,BOCA
2021-06-20,172.0,BOCA
2021-06-27,138.0,BOCA
2021-07-04,128.0,BOCA
2021-07-11,100.0,BOCA
2021-07-18,109.0,BOCA
2021-07-25,63.0,BOCA
2021-08-01,79.0,BOCA
2021-08-08,74.0,BOCA
2021-08-15,37.0,BOCA
2021-08-22,32.0,BOCA
2021-08-29,20.0,BOCA
2021-09-05,16.0,BOCA
2021-09-12,13.0,BOCA
2021-09-19,21.0,BOCA
2021-09-26,9.0,BOCA
2021-10-03,8.0,BOCA
2021-10-10,5.0,BOCA
2021-10-17,7.0,BOCA
2021-10-24,8.0,BOCA
2021-10-31,6.0,BOCA
2021-11-07,6.0,BOCA
2021-11-14,6.0,BOCA
2021-11-21,20.0,BOCA
2021-11-28,19.0,BOCA
2021-12-05,41.0,BOCA
2021-12-12,50.0,BOCA
2021-12-19,60.0,BOCA
2021-12-26,166.0,BOCA
2022-01-02,659.0,BOCA
2022-01-09,1717.0,BOCA
2022-01-16,1980.0,BOCA
2022-01-23,1409.0,BOCA
2022-01-30,609.0,BOCA
2022-02-06,331.0,BOCA
2022-02-13,145.0,BOCA
2022-02-20,97.0,BOCA
2022-02-27,72.0,BOCA
2022-03-06,40.0,BOCA
2022-03-13,28.0,BOCA
2022-03-20,12.0,BOCA
2022-03-27,15.0,BOCA
2022-04-03,13.0,BOCA
2022-04-10,20.0,BOCA
2022-04-17,10.0,BOCA
2022-04-24,12.0,BOCA
2022-05-01,17.0,BOCA
2022-05-08,29.0,BOCA
2022-05-15,70.0,BOCA
2022-05-22,97.0,BOCA
2022-05-29,125.0,BOCA
2022-06-05,70.0,BOCA
2020-03-01,0.0,BOEDO
2020-03-08,1.0,BOEDO
2020-03-15,0.0,BOEDO
2020-03-22,0.0,BOEDO
2020-03-29,0.0,BOEDO
2020-04-05,2.0,BOEDO
2020-04-12,1.0,BOEDO
2020-04-19,1.0,BOEDO
2020-04-26,2.0,BOEDO
